Date,Boulder,Denver
2020-04-02,18.0,57.0
2020-04-03,11.0,73.0
2020-04-04,11.0,53.0
2020-04-05,23.0,56.0
2020-04-06,12.0,22.0
2020-04-07,17.0,37.0
2020-04-08,1.0,43.0
2020-04-09,10.0,104.0
2020-04-10,17.0,82.0
2020-04-11,12.0,69.0
2020-04-12,18.0,65.0
2020-04-13,20.0,99.0
2020-04-14,9.0,56.0
2020-04-15,7.0,66.0
2020-04-16,12.0,81.0
2020-04-17,15.0,87.0
2020-04-18,15.0,87.0
2020-04-19,10.0,61.0
2020-04-20,8.0,96.0
2020-04-21,30.0,124.0
2020-04-22,27.0,67.0
2020-04-23,9.0,101.0
2020-04-24,44.0,213.0
2020-04-25,27.0,102.0
2020-04-26,3.0,96.0
2020-04-27,15.0,99.0
2020-04-28,28.0,109.0
2020-04-29,22.0,99.0
2020-04-30,15.0,111.0
2020-05-01,38.0,91.0
2020-05-02,28.0,130.0
2020-05-03,15.0,123.0
2020-05-04,18.0,83.0
2020-05-05,6.0,118.0
2020-05-06,15.0,128.0
2020-05-07,20.0,125.0
2020-05-08,23.0,93.0
2020-05-09,14.0,109.0
2020-05-10,10.0,69.0
2020-05-11,10.0,48.0
2020-05-12,11.0,69.0
2020-05-13,9.0,67.0
2020-05-14,8.0,105.0
2020-05-15,20.0,93.0
2020-05-16,10.0,96.0
2020-05-17,9.0,108.0
2020-05-18,13.0,64.0
2020-05-19,14.0,70.0
2020-05-20,7.0,68.0
2020-05-21,12.0,90.0
2020-05-22,8.0,108.0
2020-05-23,25.0,95.0
2020-05-24,5.0,22.0
2020-05-25,4.0,43.0
2020-05-26,9.0,53.0
2020-05-27,6.0,47.0
2020-05-28,9.0,118.0
2020-05-29,8.0,135.0
2020-05-30,10.0,121.0
2020-05-31,6.0,85.0
2020-06-01,4.0,27.0
2020-06-02,2.0,52.0
2020-06-03,9.0,63.0
2020-06-04,9.0,60.0
2020-06-05,4.0,64.0
2020-06-06,3.0,38.0
2020-06-07,5.0,27.0
2020-06-08,6.0,32.0
2020-06-09,5.0,38.0
2020-06-10,4.0,28.0
2020-06-11,9.0,28.0
2020-06-12,9.0,25.0
2020-06-13,16.0,44.0
2020-06-14,5.0,29.0
2020-06-15,18.0,46.0
2020-06-16,12.0,25.0
2020-06-17,37.0,44.0
2020-06-18,36.0,48.0
2020-06-19,38.0,72.0
2020-06-20,17.0,38.0
2020-06-21,15.0,27.0
2020-06-22,16.0,33.0
2020-06-23,23.0,37.0
2020-06-24,23.0,75.0
2020-06-25,16.0,60.0
2020-06-26,15.0,66.0
2020-06-27,11.0,46.0
2020-06-28,13.0,60.0
2020-06-29,7.0,58.0
2020-06-30,17.0,26.0
2020-07-01,17.0,58.0
2020-07-02,13.0,79.0
2020-07-03,10.0,51.0
2020-07-04,4.0,40.0
2020-07-05,7.0,25.0
2020-07-06,8.0,48.0
2020-07-07,11.0,85.0
2020-07-08,12.0,86.0
2020-07-09,20.0,88.0
2020-07-10,12.0,108.0
2020-07-11,15.0,73.0
2020-07-12,4.0,70.0
2020-07-13,15.0,50.0
2020-07-14,26.0,59.0
2020-07-15,20.0,87.0
2020-07-16,23.0,66.0
2020-07-17,18.0,90.0
2020-07-18,9.0,66.0
2020-07-19,14.0,51.0
2020-07-20,8.0,58.0
2020-07-21,12.0,103.0
2020-07-22,21.0,118.0
2020-07-23,21.0,159.0
2020-07-24,17.0,130.0
2020-07-25,30.0,162.0
2020-07-26,21.0,104.0
2020-07-27,10.0,51.0
2020-07-28,31.0,131.0
2020-07-29,12.0,95.0
2020-07-30,15.0,47.0
2020-07-31,32.0,94.0
2020-08-01,18.0,70.0
2020-08-02,22.0,84.0
2020-08-03,15.0,36.0
2020-08-04,19.0,63.0
2020-08-05,36.0,92.0
2020-08-06,15.0,84.0
2020-08-07,22.0,70.0
2020-08-08,7.0,51.0
2020-08-09,20.0,51.0
2020-08-10,13.0,39.0
2020-08-11,27.0,56.0
2020-08-12,12.0,51.0
2020-08-13,16.0,56.0
2020-08-14,6.0,45.0
2020-08-15,11.0,37.0
2020-08-16,5.0,64.0
2020-08-17,5.0,35.0
2020-08-18,4.0,44.0
2020-08-19,21.0,40.0
2020-08-20,18.0,41.0
2020-08-21,0.0,0.0
2020-08-22,31.0,110.0
2020-08-23,7.0,59.0
2020-08-24,9.0,30.0
2020-08-25,16.0,107.0
2020-08-26,5.0,-17.0
2020-08-27,9.0,56.0
2020-08-28,11.0,70.0
2020-08-29,5.0,49.0
2020-08-30,10.0,29.0
2020-08-31,13.0,40.0
2020-09-01,15.0,42.0
2020-09-02,12.0,32.0
2020-09-03,20.0,27.0
2020-09-04,0.0,0.0
2020-09-05,50.0,113.0
2020-09-06,62.0,21.0
2020-09-07,9.0,57.0
2020-09-08,7.0,22.0
2020-09-09,59.0,13.0
2020-09-10,37.0,35.0
2020-09-11,41.0,58.0
2020-09-12,75.0,75.0
2020-09-13,90.0,56.0
2020-09-14,67.0,67.0
2020-09-15,32.0,93.0
2020-09-16,144.0,79.0
2020-09-17,66.0,72.0
2020-09-18,138.0,108.0
2020-09-19,100.0,78.0
2020-09-20,151.0,109.0
2020-09-21,198.0,72.0
2020-09-22,151.0,94.0
2020-09-23,166.0,101.0
2020-09-24,69.0,96.0
2020-09-25,132.0,125.0
2020-09-26,61.0,101.0
2020-09-27,71.0,105.0
2020-09-28,15.0,92.0
2020-09-29,58.0,90.0
2020-09-30,39.0,61.0
2020-10-01,43.0,115.0
2020-10-02,42.0,119.0
2020-10-03,49.0,118.0
2020-10-04,25.0,100.0
2020-10-05,13.0,83.0
2020-10-06,21.0,130.0
2020-10-07,34.0,111.0
2020-10-08,43.0,163.0
2020-10-09,22.0,171.0
2020-10-10,37.0,176.0
2020-10-11,18.0,176.0
2020-10-12,9.0,105.0
2020-10-13,34.0,177.0
2020-10-14,25.0,119.0
2020-10-15,41.0,161.0
2020-10-16,40.0,207.0
2020-10-17,36.0,184.0
2020-10-18,29.0,173.0
2020-10-19,46.0,170.0
2020-10-20,52.0,123.0
2020-10-21,47.0,146.0
2020-10-22,57.0,206.0
2020-10-23,56.0,220.0
2020-10-24,85.0,284.0
2020-10-25,55.0,311.0
2020-10-26,60.0,380.0
2020-10-27,47.0,250.0
2020-10-28,150.0,219.0
2020-10-29,9.0,283.0
2020-10-30,96.0,398.0
